2023-04-25 14:56:07.067 LOG_ALARM -----------------  logr4z thread started!  ---------------------------- Logr.cpp:1725
2023-04-25 14:56:07.068 LOG_ALARM logrger id=0 key=Main name=Main path=./log/ level=0 display=true Logr.cpp:1735
2023-04-25 14:59:56.254 LOG_INFO  <AnoServer> Server accept complete! server.cpp:200
2023-04-25 14:59:56.274 LOG_INFO  <RecvInfo>recvInfo cols=720 server.cpp:86
2023-04-25 14:59:56.274 LOG_INFO  <RecvInfo>recvInfo rows=960 server.cpp:87
2023-04-25 14:59:56.275 LOG_INFO  <RecvInfo>recvInfo channels=3 server.cpp:88
2023-04-25 14:59:56.275 LOG_INFO  <RecvInfo>recvInfo status=ok server.cpp:89
2023-04-25 14:59:56.276 LOG_INFO  <RecvInfo>recvInfo file_path=demo/sly.jpg server.cpp:90
2023-04-25 14:59:56.276 LOG_INFO  <RecvInfo>recvInfo ano_type=GroundWater server.cpp:91
2023-04-25 15:00:29.394 LOG_INFO  <AnoServer> recv image successful! server.cpp:224
2023-04-25 15:00:36.767 LOG_INFO  <Recognition> start Recognition,Ano_type=FBGW server.cpp:237
2023-04-25 15:02:23.131 LOG_ALARM -----------------  logr4z thread started!  ---------------------------- Logr.cpp:1725
2023-04-25 15:02:23.132 LOG_ALARM logrger id=0 key=Main name=Main path=./log/ level=0 display=true Logr.cpp:1735
2023-04-25 15:02:23.181 LOG_INFO  ----------load model!----------- ano_detect_main.cpp:10
2023-04-25 15:02:23.184 LOG_INFO  <load model>load GroundWater model DeepNet.cpp:88
2023-04-25 15:02:29.940 LOG_INFO  <load model>load GroundWater model successful! DeepNet.cpp:99
2023-04-25 15:02:29.940 LOG_INFO  <load model>ALL modl load successful! ano_detect_main.cpp:14
2023-04-25 15:02:29.940 LOG_INFO  ----------AnoServer start!----------- ano_detect_main.cpp:19
2023-04-25 15:02:52.336 LOG_INFO  <InitServer> server bind complete! server.cpp:30
2023-04-25 15:02:52.369 LOG_INFO  <AnoServer> Server Start Listening ... server.cpp:193
2023-04-25 15:02:52.369 LOG_INFO  ==============Connect2Client============== server.cpp:48
2023-04-25 15:02:56.916 LOG_INFO  <AnoServer> Server accept complete! server.cpp:200
2023-04-25 15:02:56.936 LOG_INFO  <RecvInfo>recvInfo cols=720 server.cpp:86
2023-04-25 15:02:56.936 LOG_INFO  <RecvInfo>recvInfo rows=960 server.cpp:87
2023-04-25 15:02:56.937 LOG_INFO  <RecvInfo>recvInfo channels=3 server.cpp:88
2023-04-25 15:02:56.937 LOG_INFO  <RecvInfo>recvInfo status=ok server.cpp:89
2023-04-25 15:02:56.937 LOG_INFO  <RecvInfo>recvInfo file_path=demo/sly.jpg server.cpp:90
2023-04-25 15:02:56.938 LOG_INFO  <RecvInfo>recvInfo ano_type=GroundWater server.cpp:91
2023-04-25 15:03:04.845 LOG_INFO  <AnoServer> recv image successful! server.cpp:224
2023-04-25 15:03:08.515 LOG_INFO  <Recognition> start Recognition,Ano_type=FBGW server.cpp:237
2023-04-26 05:54:26.751 LOG_ALARM -----------------  logr4z thread started!  ---------------------------- Logr.cpp:1725
2023-04-26 05:54:26.752 LOG_ALARM logrger id=0 key=Main name=Main path=./log/ level=0 display=true Logr.cpp:1735
2023-04-26 05:54:26.801 LOG_INFO  ----------load model!----------- ano_detect_main.cpp:10
2023-04-26 05:54:26.802 LOG_INFO  <load model>load GroundWater model DeepNet.cpp:88
2023-04-26 05:54:34.894 LOG_INFO  <load model>load GroundWater model successful! DeepNet.cpp:99
2023-04-26 05:54:34.918 LOG_INFO  <load model>ALL modl load successful! ano_detect_main.cpp:14
2023-04-26 05:54:34.918 LOG_INFO  ----------AnoServer start!----------- ano_detect_main.cpp:19
2023-04-26 05:54:53.783 LOG_INFO  <InitServer> server bind complete! server.cpp:30
2023-04-26 05:54:53.812 LOG_INFO  <AnoServer> Server Start Listening ... server.cpp:193
2023-04-26 05:54:53.812 LOG_INFO  ==============Connect2Client============== server.cpp:48
2023-04-26 05:54:53.813 LOG_INFO  <AnoServer> Server accept complete! server.cpp:200
2023-04-26 05:54:53.859 LOG_INFO  <RecvInfo>recvInfo cols=720 server.cpp:86
2023-04-26 05:54:53.859 LOG_INFO  <RecvInfo>recvInfo rows=960 server.cpp:87
2023-04-26 05:54:53.859 LOG_INFO  <RecvInfo>recvInfo channels=3 server.cpp:88
2023-04-26 05:54:53.859 LOG_INFO  <RecvInfo>recvInfo status=ok server.cpp:89
2023-04-26 05:54:53.859 LOG_INFO  <RecvInfo>recvInfo file_path=demo/sly.jpg server.cpp:90
2023-04-26 05:54:53.859 LOG_INFO  <RecvInfo>recvInfo ano_type=GroundWater server.cpp:91
2023-04-26 05:54:53.886 LOG_INFO  <AnoServer> recv image successful! server.cpp:224
2023-04-26 05:54:53.886 LOG_INFO  <Recognition> start Recognition,Ano_type=FBGW server.cpp:237
2023-04-26 05:55:37.829 LOG_INFO  <Yolov5Detect>recognition type=1 yolov5.cpp:95
2023-04-26 05:56:23.603 LOG_ALARM -----------------  logr4z thread started!  ---------------------------- Logr.cpp:1725
2023-04-26 05:56:23.604 LOG_ALARM logrger id=0 key=Main name=Main path=./log/ level=0 display=true Logr.cpp:1735
2023-04-26 05:56:23.653 LOG_INFO  ----------load model!----------- ano_detect_main.cpp:10
2023-04-26 05:56:23.654 LOG_INFO  <load model>load GroundWater model DeepNet.cpp:88
2023-04-26 05:56:30.853 LOG_INFO  <load model>load GroundWater model successful! DeepNet.cpp:99
2023-04-26 05:56:30.854 LOG_INFO  <load model>ALL modl load successful! ano_detect_main.cpp:14
2023-04-26 05:56:30.854 LOG_INFO  ----------AnoServer start!----------- ano_detect_main.cpp:19
2023-04-26 05:56:32.347 LOG_INFO  <InitServer> server bind complete! server.cpp:30
2023-04-26 05:56:32.367 LOG_INFO  <AnoServer> Server Start Listening ... server.cpp:193
2023-04-26 05:56:32.367 LOG_INFO  ==============Connect2Client============== server.cpp:48
2023-04-26 05:56:32.368 LOG_INFO  <AnoServer> Server accept complete! server.cpp:200
2023-04-26 05:56:32.388 LOG_INFO  <RecvInfo>recvInfo cols=720 server.cpp:86
2023-04-26 05:56:32.388 LOG_INFO  <RecvInfo>recvInfo rows=960 server.cpp:87
2023-04-26 05:56:32.389 LOG_INFO  <RecvInfo>recvInfo channels=3 server.cpp:88
2023-04-26 05:56:32.390 LOG_INFO  <RecvInfo>recvInfo status=ok server.cpp:89
2023-04-26 05:56:32.390 LOG_INFO  <RecvInfo>recvInfo file_path=demo/sly.jpg server.cpp:90
2023-04-26 05:56:32.391 LOG_INFO  <RecvInfo>recvInfo ano_type=GroundWater server.cpp:91
2023-04-26 05:56:32.414 LOG_INFO  <AnoServer> recv image successful! server.cpp:224
2023-04-26 05:56:32.414 LOG_INFO  <Recognition> start Recognition,Ano_type=FBGW server.cpp:237
2023-04-26 05:56:40.144 LOG_INFO  <Yolov5Detect>recognition type=1 yolov5.cpp:95
2023-04-26 05:56:45.087 LOG_ALARM -----------------  logr4z thread started!  ---------------------------- Logr.cpp:1725
2023-04-26 05:56:45.087 LOG_ALARM logrger id=0 key=Main name=Main path=./log/ level=0 display=true Logr.cpp:1735
2023-04-26 05:56:45.137 LOG_INFO  ----------load model!----------- ano_detect_main.cpp:10
2023-04-26 05:56:45.139 LOG_INFO  <load model>load GroundWater model DeepNet.cpp:88
2023-04-26 05:56:51.293 LOG_INFO  <load model>load GroundWater model successful! DeepNet.cpp:99
2023-04-26 05:56:51.293 LOG_INFO  <load model>ALL modl load successful! ano_detect_main.cpp:14
2023-04-26 05:56:51.293 LOG_INFO  ----------AnoServer start!----------- ano_detect_main.cpp:19
2023-04-26 05:56:52.896 LOG_INFO  <InitServer> server bind complete! server.cpp:30
2023-04-26 05:56:52.914 LOG_INFO  <AnoServer> Server Start Listening ... server.cpp:193
2023-04-26 05:56:52.914 LOG_INFO  ==============Connect2Client============== server.cpp:48
2023-04-26 05:56:52.915 LOG_INFO  <AnoServer> Server accept complete! server.cpp:200
2023-04-26 05:56:52.933 LOG_INFO  <RecvInfo>recvInfo cols=720 server.cpp:86
2023-04-26 05:56:52.934 LOG_INFO  <RecvInfo>recvInfo rows=960 server.cpp:87
2023-04-26 05:56:52.934 LOG_INFO  <RecvInfo>recvInfo channels=3 server.cpp:88
2023-04-26 05:56:52.935 LOG_INFO  <RecvInfo>recvInfo status=ok server.cpp:89
2023-04-26 05:56:52.936 LOG_INFO  <RecvInfo>recvInfo file_path=demo/sly.jpg server.cpp:90
2023-04-26 05:56:52.936 LOG_INFO  <RecvInfo>recvInfo ano_type=GroundWater server.cpp:91
2023-04-26 05:56:52.959 LOG_INFO  <AnoServer> recv image successful! server.cpp:224
2023-04-26 05:56:52.960 LOG_INFO  <Recognition> start Recognition,Ano_type=FBGW server.cpp:237
2023-04-26 05:56:58.267 LOG_INFO  <Yolov5Detect>recognition type=1 yolov5.cpp:95
2023-04-26 05:59:51.407 LOG_ALARM -----------------  logr4z thread started!  ---------------------------- Logr.cpp:1725
2023-04-26 05:59:51.408 LOG_ALARM logrger id=0 key=Main name=Main path=./log/ level=0 display=true Logr.cpp:1735
2023-04-26 05:59:51.457 LOG_INFO  ----------load model!----------- ano_detect_main.cpp:10
2023-04-26 05:59:51.458 LOG_INFO  <load model>load GroundWater model DeepNet.cpp:88
2023-04-26 05:59:57.076 LOG_INFO  <load model>load GroundWater model successful! DeepNet.cpp:99
2023-04-26 05:59:57.076 LOG_INFO  <load model>ALL modl load successful! ano_detect_main.cpp:14
2023-04-26 05:59:57.077 LOG_INFO  ----------AnoServer start!----------- ano_detect_main.cpp:19
2023-04-26 06:00:16.859 LOG_INFO  <InitServer> server bind complete! server.cpp:30
2023-04-26 06:00:16.879 LOG_INFO  <AnoServer> Server Start Listening ... server.cpp:193
2023-04-26 06:00:16.879 LOG_INFO  ==============Connect2Client============== server.cpp:48
2023-04-26 06:00:16.880 LOG_INFO  <AnoServer> Server accept complete! server.cpp:200
2023-04-26 06:00:16.898 LOG_INFO  <RecvInfo>recvInfo cols=720 server.cpp:86
2023-04-26 06:00:16.899 LOG_INFO  <RecvInfo>recvInfo rows=960 server.cpp:87
2023-04-26 06:00:16.899 LOG_INFO  <RecvInfo>recvInfo channels=3 server.cpp:88
2023-04-26 06:00:16.900 LOG_INFO  <RecvInfo>recvInfo status=ok server.cpp:89
2023-04-26 06:00:16.901 LOG_INFO  <RecvInfo>recvInfo file_path=demo/sly.jpg server.cpp:90
2023-04-26 06:00:16.901 LOG_INFO  <RecvInfo>recvInfo ano_type=GroundWater server.cpp:91
2023-04-26 06:00:16.924 LOG_INFO  <AnoServer> recv image successful! server.cpp:224
2023-04-26 06:00:16.925 LOG_INFO  <Recognition> start Recognition,Ano_type=FBGW server.cpp:237
2023-04-26 06:00:19.830 LOG_INFO  <Yolov5Detect>recognition type=1 yolov5.cpp:95
2023-04-26 06:00:37.055 LOG_ALARM -----------------  logr4z thread started!  ---------------------------- Logr.cpp:1725
2023-04-26 06:00:37.056 LOG_ALARM logrger id=0 key=Main name=Main path=./log/ level=0 display=true Logr.cpp:1735
2023-04-26 06:00:37.105 LOG_INFO  ----------load model!----------- ano_detect_main.cpp:10
2023-04-26 06:00:37.108 LOG_INFO  <load model>load GroundWater model DeepNet.cpp:88
2023-04-26 06:00:42.671 LOG_INFO  <load model>load GroundWater model successful! DeepNet.cpp:99
2023-04-26 06:00:42.671 LOG_INFO  <load model>ALL modl load successful! ano_detect_main.cpp:14
2023-04-26 06:00:42.671 LOG_INFO  ----------AnoServer start!----------- ano_detect_main.cpp:19
2023-04-26 06:00:43.474 LOG_INFO  <InitServer> server bind complete! server.cpp:30
2023-04-26 06:00:43.494 LOG_INFO  <AnoServer> Server Start Listening ... server.cpp:193
2023-04-26 06:00:43.495 LOG_INFO  ==============Connect2Client============== server.cpp:48
2023-04-26 06:00:43.496 LOG_INFO  <AnoServer> Server accept complete! server.cpp:200
2023-04-26 06:00:43.514 LOG_INFO  <RecvInfo>recvInfo cols=720 server.cpp:86
2023-04-26 06:00:43.514 LOG_INFO  <RecvInfo>recvInfo rows=960 server.cpp:87
2023-04-26 06:00:43.515 LOG_INFO  <RecvInfo>recvInfo channels=3 server.cpp:88
2023-04-26 06:00:43.515 LOG_INFO  <RecvInfo>recvInfo status=ok server.cpp:89
2023-04-26 06:00:43.516 LOG_INFO  <RecvInfo>recvInfo file_path=demo/sly.jpg server.cpp:90
2023-04-26 06:00:43.517 LOG_INFO  <RecvInfo>recvInfo ano_type=GroundWater server.cpp:91
2023-04-26 06:00:43.539 LOG_INFO  <AnoServer> recv image successful! server.cpp:224
2023-04-26 06:00:43.540 LOG_INFO  <Recognition> start Recognition,Ano_type=FBGW server.cpp:237
2023-04-26 06:00:46.046 LOG_INFO  <Yolov5Detect>recognition type=1 yolov5.cpp:95
2023-04-26 06:07:14.075 LOG_ALARM -----------------  logr4z thread started!  ---------------------------- Logr.cpp:1725
2023-04-26 06:07:14.076 LOG_ALARM logrger id=0 key=Main name=Main path=./log/ level=0 display=true Logr.cpp:1735
2023-04-26 06:07:14.125 LOG_INFO  ----------load model!----------- ano_detect_main.cpp:10
2023-04-26 06:07:14.126 LOG_INFO  <load model>load GroundWater model DeepNet.cpp:88
2023-04-26 06:07:19.536 LOG_INFO  <load model>load GroundWater model successful! DeepNet.cpp:99
2023-04-26 06:07:19.536 LOG_INFO  <load model>ALL modl load successful! ano_detect_main.cpp:14
2023-04-26 06:07:19.537 LOG_INFO  ----------AnoServer start!----------- ano_detect_main.cpp:19
2023-04-26 06:07:41.205 LOG_INFO  <InitServer> server bind complete! server.cpp:30
2023-04-26 06:07:41.222 LOG_INFO  <AnoServer> Server Start Listening ... server.cpp:193
2023-04-26 06:07:41.222 LOG_INFO  ==============Connect2Client============== server.cpp:48
2023-04-26 06:07:41.223 LOG_INFO  <AnoServer> Server accept complete! server.cpp:200
2023-04-26 06:07:41.242 LOG_INFO  <RecvInfo>recvInfo cols=720 server.cpp:86
2023-04-26 06:07:41.242 LOG_INFO  <RecvInfo>recvInfo rows=960 server.cpp:87
2023-04-26 06:07:41.242 LOG_INFO  <RecvInfo>recvInfo channels=3 server.cpp:88
2023-04-26 06:07:41.242 LOG_INFO  <RecvInfo>recvInfo status=ok server.cpp:89
2023-04-26 06:07:41.243 LOG_INFO  <RecvInfo>recvInfo file_path=demo/sly.jpg server.cpp:90
2023-04-26 06:07:41.243 LOG_INFO  <RecvInfo>recvInfo ano_type=GroundWater server.cpp:91
2023-04-26 06:07:41.268 LOG_INFO  <AnoServer> recv image successful! server.cpp:224
2023-04-26 06:07:41.268 LOG_INFO  <Recognition> start Recognition,Ano_type=FBGW server.cpp:237
2023-04-26 06:08:12.782 LOG_INFO  <Yolov5Detect>recognition type=1 yolov5.cpp:95
2023-04-26 06:10:50.128 LOG_ALARM -----------------  logr4z thread started!  ---------------------------- Logr.cpp:1725
2023-04-26 06:10:50.133 LOG_ALARM logrger id=0 key=Main name=Main path=./log/ level=0 display=true Logr.cpp:1735
2023-04-26 06:10:50.177 LOG_INFO  ----------load model!----------- ano_detect_main.cpp:10
2023-04-26 06:10:50.178 LOG_INFO  <load model>load GroundWater model DeepNet.cpp:88
2023-04-26 06:10:56.023 LOG_INFO  <load model>load GroundWater model successful! DeepNet.cpp:99
2023-04-26 06:10:56.024 LOG_INFO  <load model>ALL modl load successful! ano_detect_main.cpp:14
2023-04-26 06:10:56.024 LOG_INFO  ----------AnoServer start!----------- ano_detect_main.cpp:19
2023-04-26 06:10:59.303 LOG_INFO  <InitServer> server bind complete! server.cpp:30
2023-04-26 06:10:59.337 LOG_INFO  <AnoServer> Server Start Listening ... server.cpp:193
2023-04-26 06:10:59.338 LOG_INFO  ==============Connect2Client============== server.cpp:48
2023-04-26 06:11:04.223 LOG_INFO  <AnoServer> Server accept complete! server.cpp:200
2023-04-26 06:11:04.243 LOG_INFO  <RecvInfo>recvInfo cols=720 server.cpp:86
2023-04-26 06:11:04.243 LOG_INFO  <RecvInfo>recvInfo rows=960 server.cpp:87
2023-04-26 06:11:04.244 LOG_INFO  <RecvInfo>recvInfo channels=3 server.cpp:88
2023-04-26 06:11:04.244 LOG_INFO  <RecvInfo>recvInfo status=ok server.cpp:89
2023-04-26 06:11:04.244 LOG_INFO  <RecvInfo>recvInfo file_path=demo/sly.jpg server.cpp:90
2023-04-26 06:11:04.245 LOG_INFO  <RecvInfo>recvInfo ano_type=GroundWater server.cpp:91
2023-04-26 06:11:04.268 LOG_INFO  <AnoServer> recv image successful! server.cpp:224
2023-04-26 06:11:04.269 LOG_INFO  <Recognition> start Recognition,Ano_type=FBGW server.cpp:237
2023-04-26 06:11:19.388 LOG_INFO  <Yolov5Detect>recognition type=1 yolov5.cpp:95
2023-04-26 06:20:32.007 LOG_ALARM -----------------  logr4z thread started!  ---------------------------- Logr.cpp:1725
2023-04-26 06:20:32.008 LOG_ALARM logrger id=0 key=Main name=Main path=./log/ level=0 display=true Logr.cpp:1735
2023-04-26 06:20:32.057 LOG_INFO  ----------load model!----------- ano_detect_main.cpp:10
2023-04-26 06:20:32.058 LOG_INFO  <load model>load GroundWater model DeepNet.cpp:88
2023-04-26 06:20:37.945 LOG_INFO  <load model>load GroundWater model successful! DeepNet.cpp:99
2023-04-26 06:20:37.946 LOG_INFO  <load model>ALL modl load successful! ano_detect_main.cpp:14
2023-04-26 06:20:37.946 LOG_INFO  ----------AnoServer start!----------- ano_detect_main.cpp:19
2023-04-26 06:20:49.026 LOG_INFO  <InitServer> server bind complete! server.cpp:30
2023-04-26 06:20:49.043 LOG_INFO  <AnoServer> Server Start Listening ... server.cpp:193
2023-04-26 06:20:49.043 LOG_INFO  ==============Connect2Client============== server.cpp:48
2023-04-26 06:20:49.044 LOG_INFO  <AnoServer> Server accept complete! server.cpp:200
2023-04-26 06:20:49.063 LOG_INFO  <RecvInfo>recvInfo cols=720 server.cpp:86
2023-04-26 06:20:49.063 LOG_INFO  <RecvInfo>recvInfo rows=960 server.cpp:87
2023-04-26 06:20:49.064 LOG_INFO  <RecvInfo>recvInfo channels=3 server.cpp:88
2023-04-26 06:20:49.064 LOG_INFO  <RecvInfo>recvInfo status=ok server.cpp:89
2023-04-26 06:20:49.064 LOG_INFO  <RecvInfo>recvInfo file_path=demo/sly.jpg server.cpp:90
2023-04-26 06:20:49.064 LOG_INFO  <RecvInfo>recvInfo ano_type=GroundWater server.cpp:91
2023-04-26 06:20:49.089 LOG_INFO  <AnoServer> recv image successful! server.cpp:224
2023-04-26 06:20:49.089 LOG_INFO  <Recognition> start Recognition,Ano_type=FBGW server.cpp:237
2023-04-26 06:21:02.221 LOG_INFO  <Yolov5Detect>recognition type=1 yolov5.cpp:95
2023-04-26 06:21:36.107 LOG_ALARM -----------------  logr4z thread started!  ---------------------------- Logr.cpp:1725
2023-04-26 06:21:36.108 LOG_ALARM logrger id=0 key=Main name=Main path=./log/ level=0 display=true Logr.cpp:1735
2023-04-26 06:21:36.157 LOG_INFO  ----------load model!----------- ano_detect_main.cpp:10
2023-04-26 06:21:36.158 LOG_INFO  <load model>load GroundWater model DeepNet.cpp:88
2023-04-26 06:21:41.817 LOG_INFO  <load model>load GroundWater model successful! DeepNet.cpp:99
2023-04-26 06:21:41.817 LOG_INFO  <load model>ALL modl load successful! ano_detect_main.cpp:14
2023-04-26 06:21:41.818 LOG_INFO  ----------AnoServer start!----------- ano_detect_main.cpp:19
2023-04-26 06:21:43.582 LOG_INFO  <InitServer> server bind complete! server.cpp:30
2023-04-26 06:21:43.607 LOG_INFO  <AnoServer> Server Start Listening ... server.cpp:193
2023-04-26 06:21:43.608 LOG_INFO  ==============Connect2Client============== server.cpp:48
2023-04-26 06:21:47.764 LOG_INFO  <AnoServer> Server accept complete! server.cpp:200
2023-04-26 06:21:47.783 LOG_INFO  <RecvInfo>recvInfo cols=720 server.cpp:86
2023-04-26 06:21:47.783 LOG_INFO  <RecvInfo>recvInfo rows=960 server.cpp:87
2023-04-26 06:21:47.784 LOG_INFO  <RecvInfo>recvInfo channels=3 server.cpp:88
2023-04-26 06:21:47.785 LOG_INFO  <RecvInfo>recvInfo status=ok server.cpp:89
2023-04-26 06:21:47.785 LOG_INFO  <RecvInfo>recvInfo file_path=demo/sly.jpg server.cpp:90
2023-04-26 06:21:47.785 LOG_INFO  <RecvInfo>recvInfo ano_type=GroundWater server.cpp:91
2023-04-26 06:21:47.808 LOG_INFO  <AnoServer> recv image successful! server.cpp:224
2023-04-26 06:21:47.809 LOG_INFO  <Recognition> start Recognition,Ano_type=FBGW server.cpp:237
2023-04-26 06:21:53.757 LOG_INFO  <Yolov5Detect>recognition type=1 yolov5.cpp:95
2023-04-26 06:40:54.115 LOG_ALARM -----------------  logr4z thread started!  ---------------------------- Logr.cpp:1725
2023-04-26 06:40:54.117 LOG_ALARM logrger id=0 key=Main name=Main path=./log/ level=0 display=true Logr.cpp:1735
2023-04-26 06:40:54.165 LOG_INFO  ----------load model!----------- ano_detect_main.cpp:10
2023-04-26 06:40:54.166 LOG_INFO  <load model>load GroundWater model DeepNet.cpp:88
2023-04-26 06:41:00.332 LOG_INFO  <load model>load GroundWater model successful! DeepNet.cpp:99
2023-04-26 06:41:00.333 LOG_INFO  <load model>ALL modl load successful! ano_detect_main.cpp:14
2023-04-26 06:41:00.334 LOG_INFO  ----------AnoServer start!----------- ano_detect_main.cpp:19
2023-04-26 06:41:08.935 LOG_INFO  <InitServer> server bind complete! server.cpp:30
2023-04-26 06:41:08.955 LOG_INFO  <AnoServer> Server Start Listening ... server.cpp:193
2023-04-26 06:41:08.955 LOG_INFO  ==============Connect2Client============== server.cpp:48
2023-04-26 06:41:08.956 LOG_INFO  <AnoServer> Server accept complete! server.cpp:200
2023-04-26 06:41:08.976 LOG_INFO  <RecvInfo>recvInfo cols=720 server.cpp:86
2023-04-26 06:41:08.977 LOG_INFO  <RecvInfo>recvInfo rows=960 server.cpp:87
2023-04-26 06:41:08.977 LOG_INFO  <RecvInfo>recvInfo channels=3 server.cpp:88
2023-04-26 06:41:08.978 LOG_INFO  <RecvInfo>recvInfo status=ok server.cpp:89
2023-04-26 06:41:08.978 LOG_INFO  <RecvInfo>recvInfo file_path=demo/sly.jpg server.cpp:90
2023-04-26 06:41:08.979 LOG_INFO  <RecvInfo>recvInfo ano_type=GroundWater server.cpp:91
2023-04-26 06:41:09.003 LOG_INFO  <AnoServer> recv image successful! server.cpp:224
2023-04-26 06:41:09.003 LOG_INFO  <Recognition> start Recognition,Ano_type=FBGW server.cpp:237
2023-04-26 06:42:03.608 LOG_INFO  <Yolov5Detect>recognition type=1 yolov5.cpp:109
2023-04-26 06:44:54.545 LOG_INFO  <Yolov5Detect>total detect time=169.8889 yolov5.cpp:174
2023-04-26 06:50:03.723 LOG_ALARM -----------------  logr4z thread started!  ---------------------------- Logr.cpp:1725
2023-04-26 06:50:03.724 LOG_ALARM logrger id=0 key=Main name=Main path=./log/ level=0 display=true Logr.cpp:1735
2023-04-26 06:50:03.773 LOG_INFO  ----------load model!----------- ano_detect_main.cpp:10
2023-04-26 06:50:03.774 LOG_INFO  <load model>load GroundWater model DeepNet.cpp:88
2023-04-26 06:50:09.125 LOG_INFO  <load model>load GroundWater model successful! DeepNet.cpp:99
2023-04-26 06:50:09.126 LOG_INFO  <load model>ALL modl load successful! ano_detect_main.cpp:14
2023-04-26 06:50:09.127 LOG_INFO  ----------AnoServer start!----------- ano_detect_main.cpp:19
2023-04-26 06:50:16.792 LOG_INFO  <InitServer> server bind complete! server.cpp:30
2023-04-26 06:50:16.810 LOG_INFO  <AnoServer> Server Start Listening ... server.cpp:193
2023-04-26 06:50:16.810 LOG_INFO  ==============Connect2Client============== server.cpp:48
2023-04-26 06:50:16.811 LOG_INFO  <AnoServer> Server accept complete! server.cpp:200
2023-04-26 06:50:16.829 LOG_INFO  <RecvInfo>recvInfo cols=720 server.cpp:86
2023-04-26 06:50:16.829 LOG_INFO  <RecvInfo>recvInfo rows=960 server.cpp:87
2023-04-26 06:50:16.830 LOG_INFO  <RecvInfo>recvInfo channels=3 server.cpp:88
2023-04-26 06:50:16.831 LOG_INFO  <RecvInfo>recvInfo status=ok server.cpp:89
2023-04-26 06:50:16.832 LOG_INFO  <RecvInfo>recvInfo file_path=demo/sly.jpg server.cpp:90
2023-04-26 06:50:16.833 LOG_INFO  <RecvInfo>recvInfo ano_type=GroundWater server.cpp:91
2023-04-26 06:50:16.855 LOG_INFO  <AnoServer> recv image successful! server.cpp:224
2023-04-26 06:50:16.856 LOG_INFO  <Recognition> start Recognition,Ano_type=FBGW server.cpp:237
2023-04-26 06:50:30.299 LOG_INFO  <Yolov5Detect>recognition type=1 yolov5.cpp:109
2023-04-26 06:57:39.091 LOG_ALARM -----------------  logr4z thread started!  ---------------------------- Logr.cpp:1725
